no_exercise,diabetes,obesity,few_fruit_veg,smoker,high_blood_pres,poverty,population_size,chsi_state_name,all_death
27.8,14.2,24.5,78.6,26.6,29.1,10.4,48612,Alabama,1041.5
27.2,7.2,23.6,76.2,24.6,30.5,10.2,162586,Alabama,856.9
29.2,11.2,27.0,81.9,25.5,33.2,16.4,112141,Alabama,1100.3
30.3,6.0,31.2,82.8,30.0,26.5,14.9,41744,Alabama,1040.4
29.4,10.0,22.2,76.2,27.6,35.0,13.3,79886,Alabama,1028.7
37.0,7.8,24.3,80.7,19.1,35.3,15.1,67271,Alabama,960.6
27.7,5.5,24.8,85.0,22.6,23.0,12.5,73937,Alabama,946.9
34.1,10.2,27.1,81.4,31.5,38.2,15.7,103189,Alabama,1091.5
32.9,8.8,29.5,77.7,25.0,34.0,15.3,94249,Alabama,905.0
34.0,6.1,29.4,82.3,37.0,29.2,14.5,53650,Alabama,1027.6
29.0,9.7,27.1,79.1,23.4,31.9,14.4,657229,Alabama,1034.5
25.8,6.7,23.8,77.1,21.1,34.7,15.6,87691,Alabama,910.9
25.9,7.8,21.7,74.9,27.1,24.5,15.1,123254,Alabama,983.4
22.9,6.5,23.1,75.6,21.3,24.9,10.9,298192,Alabama,905.8
34.8,7.2,27.5,82.1,31.6,36.8,15.2,85634,Alabama,1066.2
30.8,6.6,26.6,76.2,25.1,27.2,18.5,401427,Alabama,1030.7
28.2,8.5,23.9,75.6,20.7,27.8,18.0,221619,Alabama,974.0
23.4,6.7,22.5,74.5,28.9,32.7,13.2,113740,Alabama,968.7
28.2,13.0,27.6,79.7,28.5,39.0,13.1,72330,Alabama,1059.4
18.9,4.8,20.8,78.3,21.0,26.7,6.9,171465,Alabama,923.4
34.1,10.9,32.7,79.1,24.1,42.2,16.8,80457,Alabama,1090.6
27.1,7.9,25.3,79.0,23.8,29.7,16.5,168908,Alabama,1026.2
34.9,11.5,30.5,79.3,33.8,35.0,14.8,70117,Alabama,1191.7
22.6,7.5,24.6,64.6,14.3,18.4,27.5,69343,Arizona,943.8
22.8,9.1,23.8,72.7,20.2,26.0,16.3,126106,Arizona,844.0
14.8,4.2,16.5,71.0,19.6,17.2,15.6,123866,Arizona,764.8
32.7,8.8,24.5,74.2,25.6,34.5,17.1,51663,Arizona,922.9
25.8,10.9,23.8,79.4,16.1,24.9,20.5,33073,Arizona,868.2
23.3,6.3,19.9,74.7,19.9,21.4,12.8,3635528,Arizona,780.8
27.9,7.5,25.0,77.6,29.4,30.6,14.9,187200,Arizona,970.8
23.7,8.8,25.1,75.4,19.8,27.1,21.4,108432,Arizona,911.7
20.9,6.6,19.7,70.7,18.7,23.8,14.3,924786,Arizona,809.0
26.9,10.6,26.7,73.8,21.8,28.3,14.6,229549,Arizona,795.2
36.9,7.0,20.0,66.8,18.1,20.4,19.2,42009,Arizona,662.7
23.4,5.7,16.0,69.3,21.9,28.5,12.0,198701,Arizona,778.8
26.7,9.2,25.7,73.5,16.2,26.8,18.0,181277,Arizona,608.9
35.0,7.7,30.2,88.8,29.7,28.9,17.8,23178,Arkansas,1076.7
24.9,10.2,22.7,71.9,25.4,33.8,13.7,40330,Arkansas,897.6
22.3,5.8,21.5,77.4,21.4,25.4,10.0,186938,Arkansas,776.9
31.4,6.7,23.7,77.9,25.1,30.4,15.3,35793,Arkansas,896.3
30.0,6.3,20.8,75.0,16.2,27.3,17.2,22916,Arkansas,975.4
29.4,8.6,25.1,72.7,21.9,34.5,14.4,25391,Arkansas,869.0
29.9,4.9,26.5,87.2,32.2,32.7,16.5,20739,Arkansas,949.3
29.9,6.2,29.1,77.7,25.1,27.3,15.9,86735,Arkansas,997.6
27.5,5.8,21.1,82.6,27.5,27.5,14.2,57630,Arkansas,1027.5
29.1,11.5,30.0,83.0,25.0,33.6,22.5,51882,Arkansas,1241.2
24.4,4.8,23.6,78.6,19.8,22.9,12.8,97147,Arkansas,894.9
28.7,4.7,27.4,85.3,31.7,17.5,16.4,18218,Arkansas,935.0
25.0,8.0,22.3,76.0,28.3,33.3,16.0,93551,Arkansas,975.6
31.7,9.9,29.5,82.5,31.7,34.8,15.4,39401,Arkansas,1006.3
32.2,9.3,28.1,79.4,22.1,35.5,15.0,31264,Arkansas,921.6
30.8,7.2,26.9,78.8,26.0,31.6,14.9,34737,Arkansas,997.2
29.1,9.8,27.4,81.8,23.3,34.0,20.9,81700,Arkansas,1040.7
27.8,6.3,23.2,81.5,29.5,21.1,10.8,60658,Arkansas,977.4
30.3,8.3,23.1,76.4,28.4,26.1,17.1,16735,Arkansas,807.3
34.0,9.7,31.0,80.5,28.1,27.5,17.8,43162,Arkansas,882.3
42.5,7.0,29.3,81.6,28.5,33.0,22.3,47911,Arkansas,1205.4
33.4,6.6,27.6,80.7,22.6,37.0,18.6,27102,Arkansas,1090.3
30.2,7.9,24.8,74.5,21.9,32.4,19.1,20176,Arkansas,988.0
23.2,6.5,28.4,81.2,26.6,29.8,16.5,56580,Arkansas,912.8
23.6,6.7,22.3,76.1,21.0,28.9,15.1,366463,Arkansas,952.5
23.7,7.5,24.2,77.9,23.5,24.1,9.4,91188,Arkansas,907.9
28.0,7.1,26.4,75.8,20.5,32.1,15.4,118750,Arkansas,927.0
42.4,8.2,25.1,79.1,26.1,19.3,17.8,16456,Arkansas,1023.1
30.0,9.1,27.0,80.3,25.8,28.4,17.7,44186,Arkansas,1036.4
21.9,5.5,18.6,77.6,21.4,24.6,13.8,180357,Arkansas,902.1
30.2,8.7,24.1,80.5,24.2,25.4,15.5,71332,Arkansas,964.0
31.6,8.9,25.5,81.0,27.9,21.0,15.6,21391,Arkansas,991.8
20.7,5.3,18.4,69.3,15.6,21.4,10.7,1448905,California,751.0
25.8,4.3,23.7,78.8,17.0,26.7,15.8,214185,California,878.8
21.0,5.4,21.6,72.8,14.2,23.7,7.5,1017787,California,737.8
14.2,4.8,24.0,67.8,14.9,20.4,7.5,176841,California,758.8
25.8,7.4,27.7,74.3,14.6,25.1,20.6,877584,California,836.8
30.4,9.0,26.5,76.3,21.4,27.5,18.2,756825,California,972.6
27.3,6.7,21.3,71.6,16.7,24.2,17.7,9935475,California,747.3
8.3,2.8,9.9,66.0,12.0,23.0,7.3,246960,California,636.5
30.4,4.7,24.4,72.2,17.0,20.7,13.7,412104,California,713.5
18.5,4.2,17.7,74.3,14.4,20.0,10.6,2988072,California,687.3
11.3,5.7,17.3,68.6,15.0,21.1,5.9,317028,California,719.9
28.0,6.8,23.4,72.2,16.3,24.9,12.3,1946419,California,805.7
18.4,6.4,20.8,73.3,17.2,25.3,13.7,1363482,California,821.6
28.6,7.8,25.7,77.2,17.8,26.4,16.0,1963535,California,916.2
22.5,5.6,20.3,73.2,14.6,24.7,11.6,2933462,California,746.8
21.8,3.7,10.5,69.3,17.8,20.8,12.0,739426,California,723.6
27.6,6.4,25.0,67.5,16.9,28.8,14.7,664116,California,874.1
14.2,5.5,19.1,75.9,12.6,24.9,11.1,255478,California,708.5
18.8,4.2,14.4,71.0,16.8,21.6,6.8,699610,California,641.6
20.4,5.7,17.4,71.5,12.9,28.5,13.1,400762,California,686.2
18.4,5.9,17.4,71.4,10.9,22.6,8.8,1699052,California,634.4
16.8,6.9,17.9,64.9,11.3,17.7,11.3,249666,California,736.3
12.5,5.6,23.2,73.1,22.9,27.6,13.4,179904,California,914.2
18.6,6.4,20.9,72.0,17.2,21.9,8.4,411593,California,792.1
18.2,6.3,20.7,72.5,16.6,17.1,8.8,466477,California,769.6
28.2,10.0,25.4,74.6,18.7,24.6,14.2,505505,California,907.4
34.9,9.7,24.9,73.3,18.6,22.4,21.5,410874,California,878.7
21.5,7.0,19.5,72.9,16.1,27.7,9.8,796106,California,712.8
25.0,6.6,22.2,78.1,24.1,22.0,10.5,399426,Colorado,941.9
19.3,5.5,18.2,83.9,17.5,19.0,18.4,15282,Colorado,983.4
17.6,5.1,17.2,77.1,19.9,19.9,7.9,529090,Colorado,757.2
10.3,3.8,10.9,69.3,14.3,16.8,9.5,280440,Colorado,729.0
